season,player,nationality,position_group,GK,RB,RWB,CB,LB,LWB,DM,CM,AM,RM,RW,LM,LW,ST,position_source,needs_review,notes
1997/98,Alan Shearer,ENG,Forward,false,false,false,false,false,false,false,false,false,false,false,false,false,true,screenshot_nationality+local_enhanced_exact,false,
1997/98,Jon Dahl Tomasson,DEN,Forward,false,false,false,false,false,false,false,false,false,false,false,false,false,true,screenshot_nationality+local_enhanced_exact,false,
1997/98,Paul Dalglish,SCO,Forward,false,false,false,false,false,false,false,false,false,false,false,false,false,true,screenshot_nationality+local_enhanced_player,false,
1997/98,Paul Brayson,ENG,Forward,false,false,false,false,false,false,false,false,false,false,false,false,false,true,screenshot_nationality+local_enhanced_exact,false,
1997/98,Andreas Andersson,SWE,Forward,false,false,false,false,false,false,false,false,false,false,false,false,false,true,screenshot_nationality+local_enhanced_exact,false,
1998/99,Lionel Perez,FRA,Goalkeeper,true,false,false,false,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1998/99,Shay Given,IRL,Goalkeeper,true,false,false,false,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1998/99,Steve Harper,ENG,Goalkeeper,true,false,false,false,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1998/99,Phillipe Albert,BEL,Defender,false,false,false,true,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1998/99,Steven Caldwell,SCO,Defender,false,false,false,true,false,false,false,false,false,false,false,false,false,false,manual_position_override,false,
1998/99,Nikos Dabizas,GRE,Defender,false,false,false,true,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1998/99,Aaron Hughes,NIR,Defender,false,true,false,false,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1998/99,Andy Griffin,ENG,Defender,false,false,false,true,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1998/99,Warren Barton,ENG,Defender,false,true,false,false,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1998/99,Didier Domi,FRA,Defender,false,false,false,true,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1998/99,David Beharall,ENG,Defender,false,false,false,true,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1998/99,Carl Serrant,ENG,Defender,false,false,false,true,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1998/99,Laurent Charvet,FRA,Defender,false,false,false,true,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1998/99,Steve Howey,ENG,Defender,false,false,false,true,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1998/99,Alessandro Pistone,ITA,Defender,false,false,false,true,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1998/99,Paddy Kelly,SCO,Defender,false,false,false,true,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1998/99,Stuart Pearce,ENG,Defender,false,false,false,false,true,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1998/99,Stuart Elliott,ENG,Defender,false,false,false,false,false,false,false,true,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1998/99,Stephen Glass,SCO,Midfielder,false,false,false,false,false,false,false,true,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1998/99,Garry Brady,SCO,Midfielder,false,false,false,false,false,false,false,true,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1998/99,James Coppinger,ENG,Midfielder,false,false,false,false,false,false,false,false,false,false,false,false,false,true,screenshot_nationality+local_enhanced_player,false,
1998/99,Des Hamilton,ENG,Midfielder,false,false,false,false,false,false,false,true,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1998/99,Robert Lee,ENG,Midfielder,false,false,false,false,false,false,false,true,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1998/99,Georgios Charalambos Georgiadis,GRE,Midfielder,false,false,false,false,false,false,false,false,false,true,true,false,false,false,manual_position_override,false,
1998/99,Gary Speed,WAL,Midfielder,false,false,false,false,false,false,false,true,false,false,false,true,false,false,screenshot_nationality+local_enhanced_exact,false,
1998/99,Jamie McClen,ENG,Midfielder,false,false,false,false,false,false,false,true,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1998/99,Dietmar Hamann,GER,Midfielder,false,false,false,false,false,false,false,true,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1998/99,Silvio Maric,CRO,Midfielder,false,false,false,false,false,false,false,true,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1998/99,Temuri Ketsbaia,GEO,Midfielder,false,false,false,false,false,false,false,true,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1998/99,Nolberto Solano,PER,Midfielder,false,false,false,false,false,false,false,false,false,true,true,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1998/99,Andreas Andersson,SWE,Forward,false,false,false,false,false,false,false,false,false,false,false,false,false,true,screenshot_nationality+local_enhanced_exact,false,
1998/99,Louis Saha,FRA,Forward,false,false,false,false,false,false,false,false,false,false,false,false,false,true,screenshot_nationality+local_enhanced_exact,false,
1998/99,Paul Robinson,ENG,Forward,false,false,false,false,false,false,false,false,false,false,false,false,false,true,screenshot_nationality+local_enhanced_exact,false,
1998/99,Duncan Ferguson,SCO,Forward,false,false,false,false,false,false,false,false,false,false,false,false,false,true,screenshot_nationality+local_enhanced_exact,false,
1998/99,Paul Dalglish,SCO,Forward,false,false,false,false,false,false,false,false,false,false,false,false,false,true,screenshot_nationality+local_enhanced_exact,false,
1998/99,Alan Shearer,ENG,Forward,false,false,false,false,false,false,false,false,false,false,false,false,false,true,screenshot_nationality+local_enhanced_exact,false,
1999/00,Shay Given,IRL,Goalkeeper,true,false,false,false,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1999/00,Lionel Perez,FRA,Goalkeeper,true,false,false,false,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1999/00,John Karelse,NED,Goalkeeper,true,false,false,false,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
